Gene	Chr	Start	End	No.SNPs	SNP_start	SNP_end	TopSNP	TopSNP_Pvalue	No.Eigenvalues	Chisq_mBAT	P_mBATcombo	P_mBAT	Chisq_fastBAT	P_fastBAT
CCT8L2	22	17071641	17073700	97	rs5746647	rs7289232	rs147042189	0.0202737	9	5.73823868361328	0.677021177933344	0.765803638836217	29.8066	0.543827
XKR3	22	17264302	17306301	311	rs2845347	rs12171022	rs5746901	0.00190809	13	19.8483348087462	0.0685295552386324	0.0990570561854734	117.575	0.0522542
GAB4	22	17442826	17489112	489	rs5748736	rs2845401	rs7288751	0.000218594	27	39.1971814047303	0.0361868138533302	0.0607902047833858	274.808	0.0257297
IL17RA	22	17565844	17596583	396	rs192498589	rs79236659	rs75243280	0.00113593	25	29.3238026653538	0.162606136188586	0.250607388896506	211.067	0.118023
CECR2	22	17840839	18037852	930	rs9605253	rs12171096	rs1981534	0.000135344	65	87.1521768919484	0.0512113838950354	0.0347795013984015	300.231	0.0961853
SLC25A18	22	18043150	18073761	418	rs5992728	rs16980984	rs117563635	0.0207702	24	22.164526703331	0.732513704851225	0.569447326662696	106.525	0.819455
ATP6V1E1	22	18074902	18111515	408	rs174340	rs13053393	rs117563635	0.0207702	24	21.9791467937895	0.735241552037788	0.580511468523955	94.3728	0.818936
BCL2L13	22	18111621	18213621	662	rs57334802	rs61508970	rs5747353	0.00767941	24	28.0563535565251	0.295846418849381	0.257670144829615	200.952	0.342293
BID	22	18216904	18257536	438	rs79783036	rs11704224	rs1550663	0.00532427	33	37.6705195308797	0.218479766992653	0.263995838607255	197.526	0.184697
MICAL3	22	18270415	18507327	1212	rs11538	rs73376806	rs73153010	0.00098538	65	73.2813581159919	0.224855881186888	0.224973864784462	543.963	0.224738
PEX26	22	18560689	18588162	371	rs55704597	rs4422236	rs73153010	0.00098538	39	41.5846675015848	0.317784018397031	0.358825625688255	177.605	0.282567
TUBA8	22	18592866	18629450	286	rs16981491	rs12329996	rs12171267	0.00440018	27	30.7320940799458	0.367981998805668	0.282280878699564	117.641	0.479244
USP18	22	18632937	18660164	174	rs362017	rs12329996	rs62229504	0.00642654	18	13.5228697058405	0.765796828126668	0.759623031968525	55.6488	0.771717
DGCR6	22	18893541	18901751	51	rs4819758	rs140040762	rs73877005	0.00189056	8	20.1305885620636	0.00595582862770194	0.00985312219035732	69.5745	0.00426763
PRODH	22	18900290	18924066	134	rs4819758	rs2518801	rs73877005	0.00189056	12	28.4266223129675	0.00766844148609658	0.00478931734409147	125.624	0.0192161
DGCR2	22	19023795	19109967	597	rs2518801	rs712959	c("rs807674", "rs1206471")	0.00163838	22	23.3532477354204	0.516392462319181	0.382018242393129	120.074	0.645463
TSSK2	22	19118821	19120135	338	rs916945	rs4819788	c("rs807674", "rs1206471")	0.00163838	19	15.8203376010726	0.743900228417011	0.669229617200305	70.8997	0.795546
GSC2	22	19134506	19137805	326	rs17743642	rs2236760	c("rs807674", "rs1206471")	0.00163838	20	16.6805878286795	0.693080319288283	0.673606341553936	79.5688	0.711032
SLC25A1	22	19163094	19166252	301	rs73158869	rs1206549	c("rs807674", "rs1206471")	0.00163838	21	17.8644780172256	0.556333998268002	0.657563569242784	93.1377	0.442655
CLTCL1	22	19166986	19279242	579	rs8139221	rs1210703	rs5748088	0.000628914	26	26.6401777155961	0.23193060978059	0.428385274386665	192.141	0.146814
HIRA	22	19318221	19434973	459	rs361697	rs5748240	rs112641399	0.00130593	18	29.4534376049355	0.0294294152123826	0.0431113542294178	177.165	0.0223288
C22orf39	22	19338891	19435234	398	rs529363979	rs5748240	rs112942180	0.00258236	15	22.3854361190668	0.0903258068468142	0.0980886317043786	84.0116	0.0836751
MRPL40	22	19420068	19423598	221	rs5748167	rs5746749	rs112942180	0.00258236	11	19.539868135354	0.051355407263557	0.0520648258838325	88.1575	0.0506649
CDC45	22	19466980	19508135	364	rs111802956	rs113309458	rs113850893	0.00150553	18	25.681783048196	0.128349120093453	0.107259601674844	141.505	0.158912
CLDN5	22	19510547	19515068	299	rs1547931	rs2106138	rs113850893	0.00150553	19	30.3095777400644	0.0775751798478858	0.047988350461857	127.723	0.191094
GP1BB	22	19711062	19712294	235	rs5993771	rs41297790	rs13054502	0.0124022	28	33.791234347289	0.345011239002806	0.207831317307965	84.2849	0.57757
TBX1	22	19744226	19771116	257	rs148669807	rs11914260	rs5992481	0.00342654	30	28.4961611047448	0.195527583637764	0.544161949733818	145.385	0.103207
GNB1L	22	19770746	19842462	457	rs73877335	rs737862	rs11089317	0.000572382	32	42.5654904186941	0.0249419511221272	0.100349804195292	280.951	0.0141973
TXNRD2	22	19863040	19929343	611	rs144524524	rs73880057	rs11089317	0.000572382	31	42.1316343568108	0.0379973850536242	0.0876295931205571	328.979	0.0241881
COMT	22	19928894	19957498	525	rs3788309	rs1858770	rs165840	0.00129437	27	38.5252048162269	0.070112997637867	0.0699283569722716	267.957	0.0702986
ARVCF	22	19957419	20004346	562	rs71312725	rs73389755	rs165840	0.00129437	29	37.0616567762971	0.169136275685965	0.144653684927893	253.761	0.202267
TANGO2	22	20004537	20054687	500	rs4646318	rs395446	rs165840	0.00129437	20	29.9822657998512	0.10473200697895	0.070141528351947	183.976	0.198166
DGCR8	22	20067755	20099400	350	rs9605050	rs75050869	rs117148342	0.00862933	17	18.765482398612	0.479236239226925	0.342158172405484	86.0815	0.623938
TRMT2A	22	20099398	20104915	261	rs426894	rs603084	rs117148342	0.00862933	15	13.9427657232732	0.535656910534067	0.529874285394408	65.3747	0.541416
RANBP1	22	20103461	20114878	288	rs1054215	rs412160	rs117148342	0.00862933	15	22.5139637221673	0.159861407214911	0.0950187182822527	86.0153	0.381118
ZDHHC8	22	20116979	20135530	359	rs75798129	rs625749	rs117148342	0.00862933	20	26.0709759223986	0.190742718451491	0.163480533832073	141.381	0.227091
RTN4R	22	20228938	20270769	292	rs4819876	rs7287644	rs117170873	0.0176956	38	29.7751658312741	0.784764648396639	0.827319921900766	117.844	0.721222
DGCR6L	22	20301761	20307603	72	rs855056	rs7287644	rs117170873	0.0176956	16	21.0144809973326	0.33680551684281	0.17795461105047	34.3871	0.640521
ZNF74	22	20748405	20762751	262	rs5753493	rs362087	rs361764	0.0027585	15	18.581251409029	0.186347783591965	0.233340290664271	114.336	0.153785
SCARF2	22	20778874	20792113	310	rs148868491	rs5755236	rs361764	0.0027585	13	18.5611475360382	0.140957289854313	0.137351474125297	118.247	0.144744
KLHL22	22	20795806	20850131	381	rs887021	rs4821963	rs9610418	0.0101877	16	18.9999582598332	0.205426387827613	0.268665346308315	146.938	0.163909
MED15	22	20850200	20941919	451	rs62219034	rs2080195	rs79502570	0.0231964	21	20.5872659854505	0.406925045581504	0.484384098783961	130.264	0.339216
PI4KA	22	21061979	21213705	607	rs11090313	rs5761323	rs117153475	0.00365381	11	7.66099789234017	0.677115936218092	0.743310711182841	80.8257	0.588415
SERPIND1	22	21128401	21142008	299	rs9608348	rs79018377	rs78526724	0.0267828	7	2.70418113862503	0.851855980435189	0.910954024640597	39.2175	0.647972
SNAP29	22	21213295	21245502	322	rs165811	rs5761433	rs184980542	0.0038159	9	5.86971278049877	0.704744816130226	0.752883891338591	41.7409	0.64267
CRKL	22	21271695	21308035	314	rs715579	rs396130	rs184980542	0.0038159	23	16.2043036082272	0.936514704404703	0.846384173798022	58.2663	0.960347
AIFM3	22	21319396	21335649	306	rs184980542	rs2270384	rs184980542	0.0038159	28	14.217711737823	0.977201151702395	0.985570631078186	73.1833	0.945935
LZTR1	22	21336558	21353321	322	rs62238491	rs73164871	rs138582116	0.0454782	28	15.1562080918226	0.981909097624168	0.976739548248896	68.9388	0.9852
THAP7	22	21353393	21356485	295	rs117376431	rs117587161	rs396330	0.0153465	29	15.9008834627073	0.968248982600265	0.976636465468514	76.7744	0.950542
P2RX6	22	21364097	21382302	352	rs121004	rs75694724	rs396330	0.0153465	33	14.4347041576658	0.996004315773651	0.997923610817665	96.4714	0.947611
SLC7A4	22	21383007	21387129	329	rs8139975	rs112102865	rs396330	0.0153465	28	15.8085286244384	0.953698708155405	0.96857064806457	95.9566	0.912776
LRRC74B	22	21400235	21418457	354	rs178294	rs2845422	rs396330	0.0153465	29	18.8025591296318	0.903808627382298	0.926246054099393	108.274	0.862949
HIC2	22	21771660	21805752	6	rs458361	rs460106	rs3747086	0.0856879	2	1.86493100719713	0.315609420724597	0.393582134982322	5.31453	0.256343
